% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
759	1	6	91	0	20	161	0	1	0
759	2	2	50	0	20	161	0	1	1
759	2	11	58	0	20	161	0	1	1
760	1	3	96	0	20	161	0	1	0
760	1	13	94	0	20	161	0	1	0
760	2	10	63	0	20	161	0	1	1
760	2	8	71	0	20	161	0	1	1
761	1	14	1	0	20	161	0	1	0
761	1	15	12	0	20	161	0	1	0
761	2	4	78	0	20	161	0	1	1
761	2	12	82	0	20	161	0	1	1
762	1	5	20	0	20	161	0	1	0
762	1	7	29	0	20	161	0	1	0
762	2	1	87	0	20	161	0	1	1
762	2	6	91	0	20	161	0	1	1
763	1	2	50	0	20	161	0	1	0
763	1	9	39	0	20	161	0	1	0
763	2	13	94	0	20	161	0	1	1
763	2	3	96	0	20	161	0	1	1
764	1	10	63	0	20	161	0	1	0
764	1	11	58	0	20	161	0	1	0
764	2	14	1	0	20	161	0	1	1
764	2	15	12	0	20	161	0	1	1
765	1	4	78	0	20	161	0	1	0
765	1	8	71	0	20	161	0	1	0
765	2	5	20	0	20	161	0	1	1
765	2	7	29	0	20	161	0	1	1
766	1	1	87	0	20	161	0	1	0
766	1	12	82	0	20	161	0	1	0
766	2	9	39	0	20	161	0	1	1
766	2	2	50	0	20	161	0	1	1
767	1	6	91	0	20	161	0	1	0
767	1	13	94	0	20	161	0	1	0
767	2	11	58	0	20	161	0	1	1
767	2	10	63	0	20	161	0	1	1
768	1	3	96	0	20	161	0	1	0
768	1	14	1	0	20	161	0	1	0
768	2	8	71	0	20	161	0	1	1
768	2	4	78	0	20	161	0	1	1
769	1	5	20	0	20	161	0	1	0
769	1	15	12	0	20	161	0	1	0
769	2	12	82	0	20	161	0	1	1
769	2	1	87	0	20	161	0	1	1
770	1	7	29	0	20	161	0	1	0
770	1	9	39	0	20	161	0	1	0
770	2	6	91	0	20	161	0	1	1
770	2	13	94	0	20	161	0	1	1
771	1	2	50	0	20	161	0	1	0
771	1	11	58	0	20	161	0	1	0
771	2	14	1	0	20	161	0	1	1
771	2	3	96	0	20	161	0	1	1
772	1	8	71	0	20	161	0	1	0
772	1	10	63	0	20	161	0	1	0
772	2	15	12	0	20	161	0	1	1
772	2	5	20	0	20	161	0	1	1
